right_wrist_x,right_wrist_y,right_thumb_cmc_x,right_thumb_cmc_y,right_thumb_mcp_x,right_thumb_mcp_y,right_thumb_ip_x,right_thumb_ip_y,right_thumb_tip_x,right_thumb_tip_y,right_index_finger_mcp_x,right_index_finger_mcp_y,right_index_finger_pip_x,right_index_finger_pip_y,right_index_finger_dip_x,right_index_finger_dip_y,right_index_finger_tip_x,right_index_finger_tip_y,right_middle_finger_mcp_x,right_middle_finger_mcp_y,right_middle_finger_pip_x,right_middle_finger_pip_y,right_middle_finger_dip_x,right_middle_finger_dip_y,right_middle_finger_tip_x,right_middle_finger_tip_y,right_ring_finger_mcp_x,right_ring_finger_mcp_y,right_ring_finger_pip_x,right_ring_finger_pip_y,right_ring_finger_dip_x,right_ring_finger_dip_y,right_ring_finger_tip_x,right_ring_finger_tip_y,right_pinky_mcp_x,right_pinky_mcp_y,right_pinky_pip_x,right_pinky_pip_y,right_pinky_dip_x,right_pinky_dip_y,right_pinky_tip_x,right_pinky_tip_y,left_wrist_x,left_wrist_y,left_thumb_cmc_x,left_thumb_cmc_y,left_thumb_mcp_x,left_thumb_mcp_y,left_thumb_ip_x,left_thumb_ip_y,left_thumb_tip_x,left_thumb_tip_y,left_index_finger_mcp_x,left_index_finger_mcp_y,left_index_finger_pip_x,left_index_finger_pip_y,left_index_finger_dip_x,left_index_finger_dip_y,left_index_finger_tip_x,left_index_finger_tip_y,left_middle_finger_mcp_x,left_middle_finger_mcp_y,left_middle_finger_pip_x,left_middle_finger_pip_y,left_middle_finger_dip_x,left_middle_finger_dip_y,left_middle_finger_tip_x,left_middle_finger_tip_y,left_ring_finger_mcp_x,left_ring_finger_mcp_y,left_ring_finger_pip_x,left_ring_finger_pip_y,left_ring_finger_dip_x,left_ring_finger_dip_y,left_ring_finger_tip_x,left_ring_finger_tip_y,left_pinky_mcp_x,left_pinky_mcp_y,left_pinky_pip_x,left_pinky_pip_y,left_pinky_dip_x,left_pinky_dip_y,left_pinky_tip_x,left_pinky_tip_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,495,1157,533,1041,524,964,519,915,553,986,373,894,342,836,322,787,301,1017,319,922,251,865,208,816,172,1066,286,985,209,930,165,876,128,1129,269,1076,202,1036,164,993,131
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1233,414,1138,456,1028,462,951,475,909,521,961,311,873,286,822,268,776,249,988,254,904,192,853,155,810,124,1036,215,970,144,927,100,884,61,1098,190,1065,118,1040,70,1012,25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1244,355,1157,402,1048,412,969,431,928,476,984,268,896,244,844,226,798,207,1012,207,928,148,876,109,831,78,1062,164,994,95,949,50,904,11,1124,136,1094,53,1077,-3,1057,-52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1265,342,1182,391,1071,404,992,416,945,457,1005,256,918,229,866,207,822,187,1036,195,950,133,898,90,856,57,1088,151,1020,80,976,32,934,-7,1155,121,1129,44,1110,-10,1088,-57
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1267,349,1184,403,1074,414,993,426,943,466,1009,262,920,239,866,217,821,194,1040,202,952,145,899,105,855,73,1090,159,1020,93,973,46,929,8,1154,132,1124,59,1106,12,1086,-26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261,353,1177,402,1069,412,990,424,939,462,1007,266,919,238,865,217,820,195,1038,205,952,143,896,103,849,70,1088,164,1018,95,973,48,928,10,1152,140,1128,72,1111,33,1091,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257,353,1173,403,1064,412,984,423,935,463,1001,267,914,241,860,220,814,198,1033,206,948,146,893,106,845,72,1084,166,1014,96,967,49,920,10,1149,141,1121,69,1100,22,1075,-16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,373,1081,424,974,437,903,451,861,487,910,291,827,270,775,255,730,240,932,232,850,179,798,145,755,119,976,191,909,128,863,88,819,56,1035,162,1004,91,980,46,951,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113,394,1030,444,931,465,858,485,821,527,861,326,782,308,733,296,690,283,880,269,796,218,742,186,699,161,920,227,852,168,807,130,768,100,974,195,937,128,913,86,887,52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052,438,977,496,884,527,824,551,793,595,795,408,714,402,666,397,624,391,804,351,714,313,660,288,615,268,834,304,755,259,705,227,661,200,879,267,827,209,795,171,761,139
